9540.394210367,TRACKING,-0.4205175197467625/0.48353505051480383/-0.6317715047418704/0.43614652625918715,0.010057909647727561/0.03906572965451998/-0.0043196883302953955
9541.995515132,TRACKING,-0.4211865535925271/0.4808907416923726/-0.6296564456817721/0.44145090279756993,0.020107848470427354/0.012006272989078626/-0.08895221779603081
9542.397480132,TRACKING,-0.42099233074434533/0.48517910956906946/-0.6276577100293826/0.43978704485008385,0.013766895882332389/-0.004032935891596365/-0.05846899595144887
9542.597294132,TRACKING,-0.4219964280103959/0.49023859682743837/-0.6248173132451329/0.437251202522427,0.019361331858284002/-0.023826406931693536/-0.05917906936754774
9542.797093132,TRACKING,-0.4233288385026936/0.4975593155764565/-0.6182782445641597/0.4369892333343318,0.013527556544424547/-0.03687673126395674/-0.06808542592085015
9542.996891132,TRACKING,-0.42865848674739143/0.5090967141270344/-0.6110906157631825/0.42853337334974173,0.021851316431655447/-0.05633364428178988/-0.05325368453981777
9543.196675132,TRACKING,-0.43544750120072634/0.5237423828570454/-0.6022206649159767/0.41642529996487154,0.02224683698615554/-0.04600918442115255/-0.007119594549367821
9543.396360132,TRACKING,-0.4448173648581184/0.5334934525672947/-0.59316635341419/0.40703353625426275,0.04857603208462055/-0.03142634415855201/-0.020056525918439375
9543.631229132,TRACKING,-0.4569615127831141/0.5454936415566844/-0.5810654431997316/0.39495087666733125,0.10151442263036858/0.00625930179919844/-0.019849822662113076
9543.831034132,TRACKING,-0.4688989683764414/0.5541952464954423/-0.5672781533520876/0.3888409349977854,0.17166401313742413/0.05290047626682/-0.01972504113318236
9543.998367132,TRACKING,-0.47629469860783624/0.5585798443229829/-0.5606616852525128/0.38313285820068366,0.2238823837242065/0.08827772048325254/-0.017556540550806295
9544.198185132,TRACKING,0.4837974463201385/-0.5660897998864434/0.5536763484164614/-0.3727267499242178,0.278833957765574/0.12728343624975835/-0.018437350986045823
9544.397894132,TRACKING,0.48379941013790256/-0.581053616815584/0.5445277975064319/-0.36304910789806333,0.3157340391530923/0.16351949895709467/-0.016031237842813045
9544.597848132,TRACKING,0.49330837232907193/-0.5917951460334895/0.531183034352409/-0.3525199127639956,0.29685546431948695/0.18329087653370443/-0.006200814358914491
9544.797766132,TRACKING,0.5049738688238786/-0.6004986224508826/0.5198244412168015/-0.33791408292959785,0.3510023988104892/0.21451951034551556/-0.009000100120829118
9545.032461132,TRACKING,0.5134516368793431/-0.6138985499613558/0.503690163154325/-0.32525800895330986,0.42525983486052343/0.24567343743849773/-0.0011191594071549517
9545.199845132,TRACKING,0.520612867587236/-0.6197770281482646/0.4898665771248679/-0.32383631901872434,0.4764501884810487/0.27194764740255534/0.0035165023061092546
9545.399672132,TRACKING,0.5228846723539893/-0.6289750705356278/0.4832362780512466/-0.31219421450377993,0.5291249993500953/0.30066031810830723/0.0023502723117219803
9545.599382132,TRACKING,0.5213627647135197/-0.6334060666802254/0.48137228567006296/-0.30864040063111225,0.5818576071940312/0.3358866338897265/-0.005589716878590934
9545.799135132,TRACKING,0.5221590709991188/-0.6278186773091365/0.4845665791693413/-0.31367083418261976,0.6297092201999576/0.3786378847849918/-0.011578827452328492
9545.998870132,TRACKING,0.5202043109128196/-0.6176833955213958/0.49505484640851527/-0.32058688299354243,0.6938295599692691/0.43362127782592647/-0.010773740686405341
9546.198627132,TRACKING,0.5147543064593268/-0.6087149901970053/0.5092302503373969/-0.3243134032825701,0.749262717316115/0.48303904006998705/-0.013505499209576333
9546.398520132,TRACKING,0.5067914179081804/-0.6048362930971295/0.5138892761679597/-0.3365321747829418,0.8009557108425985/0.5263216732839199/-0.012662724718574384
9546.598358132,TRACKING,0.5004896536723303/-0.6000962409818158/0.5204065793351949/-0.3443431221607824,0.8531335327456075/0.5538909632775774/-0.021853392010123686
9546.800591132,TRACKING,0.5021300539851992/-0.588822433182484/0.5263780822365477/-0.35225025885376765,0.9215097830622472/0.5813006708247456/-0.023832944434719287
9547.000411132,TRACKING,0.4961162236387774/-0.5862702378378608/0.533585935817521/-0.3541783468611622,0.9963536049150927/0.6081058364182551/-0.01845358016561443
9547.200085132,TRACKING,0.49362026086248967/-0.5854749831116176/0.5348948965109402/-0.35699563548269525,1.0598143903924189/0.6317604709007469/-0.01644813971836823
9547.399986132,TRACKING,0.48745787808842167/-0.5820254183579905/0.5391379084690928/-0.36463940889845964,1.1183333377081823/0.6632839578260615/-0.01731421733735585
9547.599821132,TRACKING,0.4796073264833924/-0.5651323926971062/0.5533784040370574/-0.3799669618269984,1.1842565781122958/0.7022745170934193/-0.023248600601143376
9547.799605132,TRACKING,-0.47015776494061357/0.5412273523907796/-0.5737273959764183/0.3960579307795684,1.2532729709361725/0.7514639970616344/-0.027019953121153163
9547.999380132,TRACKING,-0.4583340484807488/0.5266482950019941/-0.5902743371286804/0.4051518822196624,1.318164514646348/0.8058845392621229/-0.025991082978828402
9548.201619132,TRACKING,-0.4480256139503943/0.5207445936697289/-0.5951200332626133/0.41704990641037143,1.3930775676787033/0.8430176472580476/-0.029886598721013024
9548.401573132,TRACKING,-0.4428135994223751/0.5106999495952902/-0.6016425222220666/0.4255917164837196,1.4637534411942426/0.8620470241887207/-0.028626396167441337
9548.601533132,TRACKING,-0.44449753282065135/0.5047095763065144/-0.6006556367947651/0.43232320067396884,1.544486280322293/0.8662151780567454/-0.03727135526783639
